City_ID,City,Country,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Mondlo,ZA,-27.983,30.7177,64.85,78,0,3.42,clear sky
268,Haian,CN,32.5436,120.45,48.67,93,5,8.28,clear sky
269,Ilulissat,GL,69.2167,-51.1,-21.06,87,15,6.62,few clouds
270,Bundaberg,AU,-24.85,152.35,71.22,91,80,1.99,broken clouds
271,Saint-Joseph,RE,-21.3667,55.6167,77.38,82,72,12.48,broken clouds
272,Egvekinot,RU,66.3167,-179.1667,-7.78,73,22,17.67,few clouds
273,Yulara,AU,-25.2406,130.9889,82.27,44,0,7.05,clear sky
274,Olga,RU,43.7444,135.2892,19.56,83,5,5.5,clear sky
275,Tigzirt,DZ,36.8886,4.1198,57.42,84,0,7.16,clear sky
276,Latung,PH,5.5,120.8833,80.69,76,100,17.92,overcast clouds
277,Umm Kaddadah,SD,13.6017,26.6876,62.56,27,19,12.64,few clouds
278,Vallenar,CL,-28.5708,-70.7581,87.96,25,0,11.86,clear sky
279,Mana,GF,5.6592,-53.7767,79.02,84,100,9.42,overcast clouds
280,Katherine,AU,-14.4667,132.2667,80.92,83,100,5.75,light rain
281,Izumo,JP,35.3667,132.7667,33.75,76,2,7.76,clear sky
282,Broome,US,42.2506,-75.833,40.69,73,100,9.22,overcast clouds
283,Nemuro,JP,43.3236,145.575,30.94,80,100,7.38,overcast clouds
284,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,5.59,56,75,11.18,broken clouds
285,Zapolyarnyy,RU,69.4154,30.8136,15.08,93,100,9.48,overcast clouds
286,Rio Grande,BR,-32.035,-52.0986,91.51,59,48,15.57,scattered clouds
287,Korla,CN,41.7597,86.1469,28.9,29,100,8.52,overcast clouds
288,Okhotsk,RU,59.3833,143.3,-23.28,85,13,6.29,few clouds
289,Emba,KZ,48.8264,58.1442,-11.92,93,5,2.33,clear sky
290,Shache,CN,38.4167,77.2406,27.63,18,100,24.96,overcast clouds
291,Marsh Harbour,BS,26.5412,-77.0636,72.19,57,20,3.24,few clouds
292,Pemangkat,ID,1.1667,108.9667,77.09,85,100,2.46,overcast clouds
293,Arlit,NE,18.7369,7.3853,65.97,14,0,9.66,clear sky
294,Broken Hill,AU,-31.95,141.4333,78.39,31,81,10.69,broken clouds
295,Caravelas,BR,-17.7125,-39.2481,82.87,64,97,9.73,overcast clouds
296,Staraya Sunzha,RU,43.3372,45.7422,19.96,93,0,4.47,clear sky
297,Dongning,CN,44.0622,131.1207,13.17,90,10,4.43,clear sky
298,Buala,SB,-8.145,159.5921,79.32,84,91,6.24,light rain
299,Katsuura,JP,35.1333,140.3,46.29,72,10,5.03,clear sky
300,Merauke,ID,-8.4667,140.3333,77.41,86,100,3.04,overcast clouds
301,Salvador,SV,13.8333,-88.9167,82.06,45,24,2.89,few clouds
302,Goderich,CA,43.7501,-81.7165,36.91,75,100,10.36,overcast clouds
303,Bako,ET,5.7833,36.5667,69.8,50,12,3.49,few clouds
304,Marathon,US,44.9,-89.7668,35.65,88,75,0.0,haze
305,Oranjestad,AW,12.524,-70.027,85.95,62,20,17.27,few clouds
306,Lilongwe,MW,-13.9669,33.7873,67.93,95,100,2.39,light rain
307,Kalmunai,LK,7.4167,81.8167,72.45,78,18,7.72,few clouds
308,Bay Roberts,CA,47.5999,-53.2648,25.14,80,100,5.99,overcast clouds
309,Hamilton,US,39.1834,-84.5333,48.76,84,100,6.91,light rain
310,Souillac,MU,-20.5167,57.5167,79.18,78,40,10.36,scattered clouds
311,Buenaventura,CO,3.8801,-77.0312,81.52,77,98,5.59,overcast clouds
