City_ID,City,Country,Date,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Montepuez,MZ,2022-12-07 17:15:50,-13.1256,38.9997,74.16,80,75,4.34
244,Hinton,CA,2022-12-07 17:15:51,53.4001,-117.5857,13.41,88,52,7.61
245,Carnarvon,AU,2022-12-07 17:15:51,-24.8667,113.6333,70.72,69,81,15.82
246,Katherine,AU,2022-12-07 17:15:51,-14.4667,132.2667,84.52,58,100,8.05
247,Jeremie,HT,2022-12-07 17:15:52,18.65,-74.1167,80.92,62,28,12.75
248,Madinat Sittah Uktubar,EG,2022-12-07 17:15:52,29.8167,31.05,65.8,52,0,1.3
249,Carutapera,BR,2022-12-07 17:15:52,-1.195,-46.02,88.95,54,16,12.03
250,San Patricio,US,2022-12-07 17:15:53,28.017,-97.5169,80.46,70,47,11.34
251,Hit,IQ,2022-12-07 17:15:53,33.6416,42.8251,61.36,48,26,6.4
252,Port Hardy,CA,2022-12-07 17:15:47,50.6996,-127.4199,39.38,87,100,23.02
253,Batagay,RU,2022-12-07 17:15:54,67.6333,134.6333,-31.95,97,100,2.33
254,Kushmurun,KZ,2022-12-07 17:15:55,52.4503,64.6311,-7.13,99,72,3.44
255,Guanica,PR,2022-12-07 17:15:55,17.9716,-66.908,85.03,67,18,7.2
256,Longyearbyen,SJ,2022-12-07 17:11:37,78.2186,15.6401,21.04,68,75,10.36
257,Nicoya,CR,2022-12-07 17:15:55,10.1483,-85.452,82.29,66,11,8.61
258,Necochea,AR,2022-12-07 17:15:56,-38.5473,-58.7368,87.98,37,1,15.39
259,Pahrump,US,2022-12-07 17:11:03,36.2083,-115.9839,46.26,63,14,1.99
260,Touros,BR,2022-12-07 17:11:22,-5.1989,-35.4608,85.39,61,73,17.13
261,Windsor,CA,2022-12-07 17:08:21,42.3001,-83.0165,45.23,89,100,0.0
262,Rosarito,MX,2022-12-07 17:15:56,32.3333,-117.0333,59.41,68,5,2.26
263,Ixtapa,MX,2022-12-07 17:15:57,20.7,-105.2,82.22,61,20,3.0
264,Xuchang,CN,2022-12-07 17:15:57,34.0167,113.8167,41.41,81,59,2.35
265,Bambanglipuro,ID,2022-12-07 17:15:57,-7.95,110.2833,77.09,90,92,3.04
266,Ypsonas,CY,2022-12-07 17:15:58,34.6884,32.9574,59.97,72,20,3.44
267,Camacha,PT,2022-12-07 17:15:58,33.0833,-16.3333,65.62,64,40,21.85
268,Caorle,IT,2022-12-07 17:15:58,45.5966,12.8758,46.36,68,14,7.36
269,Alugan,PH,2022-12-07 17:15:59,12.2188,125.4808,77.63,91,99,9.95
270,Beyneu,KZ,2022-12-07 17:15:59,45.3167,55.2,20.86,59,7,10.33
271,Kavaratti,IN,2022-12-07 17:16:00,10.5669,72.642,81.84,71,99,3.13
272,Lavrentiya,RU,2022-12-07 17:16:00,65.5833,-171.0,16.0,78,59,8.52
273,Constitucion,CL,2022-12-07 17:16:01,-35.3333,-72.4167,68.9,63,79,11.03
